Goalie,Season,Team,GP,TOI,SA,FA,Saves,GA,xGA,GSAx,GSAA,WAR,Sv%,xSv%,dSv%
Joey Daccord,25-26,SEA,47,2693.21666666667,1305,2039,1171,136,133.069998971594,-2.93000102840605,0.0398990108025146,1.78778804996895,0.8973180076628352,0.8980306521290468,-0.0007126444662115539
John Gibson,25-26,DET,57,3181.23333333333,1461,2258,1317,144,160.435822278666,16.4358222786664,8.30213981209386,5.93381529883441,0.9014373716632443,0.8901876644225422,0.011249707240702178
Jonas Johansson,25-26,T.B,25,1423.51666666667,670,981,592,78,67.7683327149716,-10.2316672850284,-8.15576066112055,-0.743205638893678,0.8835820895522388,0.8988532347537737,-0.01527114520153483
Jonathan Quick,25-26,NYR,25,1418,671,1042,598,73,70.0627781889052,-2.93722181109482,-3.05151552777895,0.67741706092157,0.8912071535022354,0.8955845332505138,-0.004377379748278343
Joonas Korpisalo,25-26,BOS,31,1713.08333333333,851,1233,761,90,86.5482136296341,-3.4517863703659,-1.28739152628894,0.870216346479548,0.8942420681551116,0.8982982213517813,-0.004056153196669632
Jordan Binnington,25-26,STL,41,2307.8,1010,1473,882,128,102.293857762279,-25.7061422377212,-22.7124153249728,-3.06355724139617,0.8732673267326733,0.8987189527106149,-0.025451625977941594
Joseph Woll,25-26,TOR,39,2230.06666666667,1220,1830,1097,124,122.595960414366,-1.40403958563385,3.17906267676557,1.89217086777969,0.8991803278688525,0.8995115078570771,-0.000331179988224628
Justus Annunen,25-26,NSH,28,1500.53333333333,712,1103,645,67,79.9915561326197,12.9915561326197,7.22253493922712,3.86618128104939,0.9058988764044944,0.8876523088025003,0.018246567601994057
Juuse Saros,25-26,NSH,59,3432.55,1700,2449,1519,181,178.756936110769,-2.24306388923124,-3.7832733192611,2.72191502733274,0.8935294117647059,0.8948488611113123,-0.0013194493466064383
Karel Vejmelka,25-26,UTA,64,3692.75,1627,2482,1459,169,176.339897155645,7.33989715564521,0.606831946801293,4.49263727468454,0.8967424708051629,0.8916165352454548,0.005125935559708084
Kevin Lankinen,25-26,VAN,47,2592.35,1283,1920,1123,160,141.995991232514,-18.0040087674862,-26.2534939227129,-0.907371405444073,0.8752922837100545,0.889325026319163,-0.014032742609108473
Leevi Meriläinen,25-26,OTT,20,1094.48333333333,457,658,393,64,43.3213749189744,-20.6786250810256,-16.3599740628837,-3.15025072807553,0.8599562363238512,0.9052048688862704,-0.04524863256241918
